symbol,name,display_name
OC,אוונס קורנינג,אוֹוֶנְס קוֹרְנִינְג
APO,אפולו גלובל מנג'מנט,אַפּוֹלוֹ גְלוֹבָּל מֵנֶגְ'מֶנְט
KKR,קיי-קיי-אר,קֵיי־קֵיי־אָר
Carlyle Group,קארלייל גרופ,קָארְלַיְיל גְרוּפּ
BX,בלאקסטון,בְּלָאקְסְטוֹן
ARES,ארס מנג'מנט,אָרֶס מֵנֶגְ'מֶנְט
TPG,טי-פי-ג'י,טִי־פִּי־גִ'י
CG,קרלייל גרופ,קַרְלַיְיל גְרוּפּ
BAM,ברוקפילד אסייט מנג'מנט,בְּרוּקְפִילְד אֶסֵייט מֵנֶגְ'מֶנְט
LAZ,לזרד,לָאזַרְד
MCO,מודי'ס,מוּדִי'ס
SPGI,אס-פי גלובל,אֶס־פִּי גְלוֹבָּל
MSCI,אם-אס-סי-איי,אֶם־אֶס־סִי־אֵיי
NDAQ,נאסדק,נַאסְדָק
ICE,אינטרקונטיננטל אקסצ'נג',אִינְטֶרְקוֹנְטִינֶנְטָל אֶקְסְצֵ'נְג'
CME,סי-אם-אי גרופ,סִי־אֶם־אֵי גְרוּפּ
ALL,אולסטייט,אוֹלְסְטֵייט
MET,מטרופוליטן לייף,מֶטְרוֹפּוֹלִיטָן לַייְף
PRU,פרודנשל פייננשל,פְּרוּדֶנְשֶׁל פַייְנֶנְשְל
AIG,איי.איי.ג'י,אֵיי.אֵיי.גִ'י
TRV,טראבלרס,טְרַאבְּלֶרְס
CB,צ'אב,צַ'אבּ
AFL,אפלייק,אַפְּלַייְיק
MCY,מרקורי ג'נרל,מֶרְקוּרִי גֶ'נֶרַל
AJG,ארתור ג'י. גלאגר,אָרְתוּר גִ'י. גָּלַאגֶר
MMC,מרש מקלנן,מַרְש מַקְלֶנַּן
BRO,בראון אנד בראון,בְּרָאוּן אֶנְד בְּרָאוּן
UNH,יונייטד הלת' גרופ,יוּנַיְיטֶד הֶלְת' גְרוּפּ
JNJ,ג'ונסון אנד ג'ונסון,ג'וֹנְסוֹן אֶנְד ג'וֹנְסוֹן
PFE,פייזר,פַּייְזֶר
MRK,מרק,מֶרְק
ABBV,אבווי,אַבְּבִי
LLY,אלי לילי,אֵלִי לִילִי
NVO,נובו נורדיסק,נוֹבוֹ נוֹרְדִיסְק
AZN,אסטרהזניקה,אַסְטְרָזֶנִיקָה
GSK,גלאקסוסמית'קליין,גְלַאקְסוֹסְמִיתְ'קְלַיְין
SNY,סאנופי,סַאנוֹפִי
BMY,בריסטול מאיירס סקוויב,בְּרִיסְטוֹל מַאיֶירְס סְקְוִויב
AMGN,אמג'ן,אַמְגֶ'ן
GILD,גילאד סיינסס,גִּילְאַד סַייְנְסֶס
MODG,מודרנה,מוֹדֶרְנָה
BNTX,ביונטק,בִּיוֹנְטֶק
MRNA,מודרנה,מוֹדֶרְנָה
VRTX,ורטקס פרמצבטיקה,וֶרְטֶקְס פַּרְמָצֵאוּטִיקָה
REGN,רג'נרון,רֶגֶ'נְרוֹן
ILMN,אילומינה,אִילוּמִינָה
TMO,תרמו פישר סיינטיפיק,תֶרְמוֹ פִישֶׁר סַייְנְטִיפִיק
DANA,דנהר,דָנָהֶר
IQV,איי-קיו-וי-איי,אֵיי־קְיוּ־וִי־אֵיי
LH,לאבקורפ,לַאבְּקוֹרְפ
DGX,קוסטקו,קוֹסְקוֹ
CVS,סי-וי-אס הלת',סִי־וִי־אֶס הֶלְת'
WBA,וולגרינס בוטס אליינס,ווֹלְגְרִינְס בּוּטְס אָלַייְנְס
CNC,סנטן,סֶנְטֵן
HUM,יומנה,יוּמָנָה
ELV,אנטם,אֶנְטֶם
CI,סי-איי,סִי־אֵיי
MOH,מולינה הלת'קר,מוֹלִינָה הֶלְתְ'קֵר
HCA,הלת'קר אוף אמריקה,הֶלְתְ'קֵר אוֹף אָמֶרִיקָה
EHC,אנהל,אֶנְהַל
DVA,דאוויטה,דָאוּוִיטָה
FMS,פריזניוס מדיקל קר,פְרִיזֶנְיוּס מֶדִיקָל קֵר
COO,קופר קורפ,קוּפֶּר קוֹרְפ
EW,אדוארדס לייפסיינסס,אֶדְוַוארְדְס לַייְפְסַייְנְסֶס
HOLX,הולוג'יק,הוֹלוֹגִ'יק
IDXX,איידקס לבורטוריס,אֵייְדֶקְס לַבּוֹרָטוֹרִיס
PKI,פרקין אלמר,פֶּרְקִין אֶלְמֶר
RMD,רסמד,רֶסְמֶד
STE,סטריקר,סְטְרַיְיקֶר
TDOC,טלדוק הלת',טֶלְדוֹק הֶלְת'
VEEV,ויב סיסטמס,וִויב סִיסְטֶמְס
LUMI.TA,בנק לאומי,בָּנְק לֵאוּמִי
POLI.TA,בנק הפועלים,בָּנְק הַפּוֹעֲלִים
MZTF.TA,מזרחי טפחות,מִזְרָחִי טַפְחוֹת
DSCT.TA,דיסקונט,דִיסְקוֹנְט
FIBI.TA,הבנק הבינלאומי,הַבָּנְק הַבֵּינְלְאוּמִי
TEVA,טבע,טֵבָע
PRGO,פריגו,פְּרִיגוֹ
ICL.TA,כיל,כִּיל
NICE.TA,נייס,נַיְיס
ESLT.TA,אלביט מערכות,אֶלְבִּיט מַעֲרָכוֹת
OPK,אופקו הלת',אוֹפְּקוֹ הֶלְת'
BEZQ.TA,בזק,בֶּזֶק
CEL.TA,סלקום,סֶלְקוֹם
PTNR.TA,פרטנר,פַּרְטְנֶר
SAE.TA,שופרסל,שׁוּפֶרְסָל
DLEKG.TA,דלק קבוצה,דֶּלֶק קְבוּצָה
PAZ.TA,פז נפט,פַּז נֶפֶט
ENRG.TA,אנרג'יקס,אֵנֶרְג'ִיקְס
ENLT.TA,אנלייט,אֶנְלַיְיט
ARPT.TA,איירפורט סיטי,אֲיֵירְפּוֹרְט סִיטִי
MLSR.TA,מליסרון,מֶלִיסְרוֹן
AZRG.TA,עזריאלי,עָזְרִאֵלִי
SKBN.TA,שיכון ובינוי,שִׁיכּוּן וּבִּנוּי
ASHG.TA,אשטרום קבוצה,אַשְׁטְרוֹם קְבוּצָה
GVYM.TA,גב ים,גַּב יָם
TCOM.TA,טכנופלס ונצ'רס,טֶכְנוֹפְּלַס וֶנְצֶ'רְס
RRCM.TA,רציו אנרגיות,רַצְיוֹ אֶנֶרְגִּיוֹת
DRN.TA,דורי דרדסים,דּוֹרִי דַּרְדַּסִּים
MGDL.TA,מגדל ביטוח,מִגְדָּל בִּיטוּחַ
PHOE.TA,הפניקס,הַפִּינִיקְס
CLIS.TA,כלל ביוטכנולוגיה,כְּלַל בִּיוֹטֶכְנוֹלוֹגְיָה
HLAN.TA,החברה לישראל,הַחֶבְרָה לְיִשְׂרָאֵל
ESCM.TA,אפסילון קפיטל,אֶפְּסִילוֹן קַפִּיטַל
ALRM.TA,אלרונט,אֵלְרוֹנֶט
TSEM.TA,טאוור סמיקונדקטור,טַאוֶור סֶמִיקּוֹנְדַקְטוֹר
RVLV.TA,רבלב,רֶבְלֶב
TRLY.TA,טרקלין חשמל,טְרַקְלִין חַשְׁמַל
ILDC.TA,ישראמקו,יִשְׂרָאמְקוֹ
INSP.TA,אינספיריישן,אִינְסְפִּירֵישְׁן
DSFI.TA,דיסקונט השקעות,דִּיסְקוֹנְט הַשְׁקָעוֹת
IDBG.TA,אי.די.בי פיתוח,אִי.דִי.בִּי פִּיתּוּחַ
SPCR.TA,ספייר,סְפַּיֶיר
BCOM.TA,ביקום,בִּיקוּם
ADR.TA,אדגר,אֶדְגָּר
GSUN.TA,גלובל סאן,גְלוֹבָּל סַאן
HRMN.TA,הראל השקעות,הַרְאֵל הַשְׁקָעוֹת
LPHY.TA,לפידות קפיטל,לַפִּידוֹת קַפִּיטַל
OMER.TA,עומר השקעות,עוֹמֶר הַשְׁקָעוֹת
CANA.TA,קנאשור,קָנָאשׁוּר
RNET.TA,רדקום,רַדְקוֹם
ESPA.TA,אספן גרופ,אֶסְפֶּן גְרוּפּ
GNBN.TA,גנרל בייטינג,גֶ'נֶרַל בֵּייְטִינְג
NVMI.TA,נובה,נוֹבָה
CMMT.TA,קומפיוג'ן,קוֹמְפִּיוּגֶ'ן
PERI.TA,פריון נטוורק,פֶּרִיוֹן נֶטְוֹורְק
ORSC.TA,אורסק,אוֹרְסֶק
CRNT.TA,סרגון נטוורקס,סַרְגוֹן נֶטְוֹורְקְס
DSGX.TA,דלתא גליל,דֶּלְתָּא גָלִיל
GFI.TA,גזית גלוב,גָּזִית גְלוֹב
MTRX.TA,מטריקס,מַטְרִיקְס
AZRI.TA,עזריאלי קניונים,עָזְרִאֵלִי קַנְיוֹנִים
RLOG.TA,רציו לוגיסטיקה,רַצְיוֹ לוֹגִיסְטִיקָה
ARCM.TA,ארקו השקעות,אָרְקוֹ הַשְׁקָעוֹת
AMOT.TA,אמות השקעות,אֲמוֹת הַשְׁקָעוֹת
ENOG.TA,אנרג'יאן,אֶנֶרְגִ'יאַן
AVLI.TA,אבליון,אַבְלִיוֹן
OPC.TA,או.פי.סי אנרגיה,אוֹ.פִּי.סִי אֶנֶרְגְּיָה
ISR.TA,ישראמקו נפט וגז,יִשְׂרָאמְקוֹ נֶפְט וְגַז
BIRD.TA,בירד,בִּירְד
CELO.TA,סלנס,סֶלֶנְס
NRG.TA,אנרגיה ירוקה,אֶנֶרְגְּיָה יְרוּקָה
PEXI.TA,פרפקטו,פֶּרְפֶּקְטוֹ
RDWR.TA,רדוור,רַדְוֶור
VRST.TA,וראזון,וֶרָאזוֹן
GIVN.TA,גיוון אימג'ינג,גִּיוּוּן אִימֵגִ'ינְג
MEDA.TA,מדטכניקה,מֶדְטֶכְנִיקָה
ALON.TA,אלון רבוע כחול,אַלּוֹן רִבּוּעַ כָּחוֹל
KPS.TA,קבוצת פלרם,קְבוּצַת פְּלֶרָם
SHVA.TA,שבא,שֵׁירוּתֵי בָּנְק אוֹטוֹמָטִיִם
MTHY.TA,מטרו מוטור,מֶטְרוֹ מוֹטוֹר
ONE.TA,וואן טכנולוגיות,וואן טֶכְנוֹלוֹגְיוֹת
TDRN.TA,תדיראן,תַדִירָאן
